company,ceo,website,phone
Volkswagen,Thomas Schäfer,https://www.vw.com/en.html,
Apple Inc.,Tim Cook,https://apple.com,+1-800-263-3394
Apple Inc.,Tim Cook,https://apple.com,+1-800-275-2273
Amazon,Jeff Bezos,https://www.amazon.com/,
Amazon,Andy Jassy,https://www.amazon.com/,
Toyota,Kōji Satō,https://global.toyota,
Hampstead Garden Suburb,,,
Shell,Wael Sawan,https://www.shell.com/,
Juncus gerardii,,,
Lilius Bratton Rainey,,,
African Fish Eagle,,,
Villahermosa del Campo,,http://villahermosadelcampo.iespana.es,
Amoco,,http://www.amoco.com/,
沃尔玛,Doug McMillon,https://www.walmart.com/,
Chase Bank,,https://www.chase.com/,
Costco,Ron Vachris,https://www.costco.com/,
Cruise Chaser Blassty,,,
Salón de la Plástica Mexicana,,http://www.salondelaplasticamexicana.bellasartes.gob.mx/,
royal assent,,,
Karl Otto Ludwig Theodat von und zu Gymnich,,,
CVS Pharmacy,Larry Merlo,https://www.cvs.com/,
Alphabet Inc.,Sundar Pichai,https://abc.xyz/,
